Environment_Mat1,Environment_Mat2,Environment_Mat3,Environment_Mat4,Environment_Mat5,Environment_Mat6,Environment_Mat7,Environment_Mat8,Environment_Mat9,Environment_Mat10,Environment_Mat11,Environment_Mat12,Environment_Mat13,Environment_Mat14,Environment_Mat15,Environment_Mat16
filename,# of obs,obs start,obs end,mean cond,std cond,mean LeafT,std LeafT,mean AirT,std AirT,mean PARi,std PARi,mean VPDL,std VPDL,mean RH_S,std RH_S
ACI_curve1_09082012-tnf-tr504-sun-aci.csv,14,2,15,0.0433142857142857,0.0209743747369116,29.9385714285714,0.147797009590709,28.2707142857143,2.09835270293963,999.928571428571,0.828741930164745,3.345,0.111545092641083,23.5142857142857,3.63356937096657
ACI_curve1_09122012-tnf-tr504-shade-aci.csv,12,2,13,0.05775,0.0277093518837627,29.8816666666667,0.0212488858887976,29.9183333333333,0.0208166599946617,999.5,0.797724035217466,2.19583333333333,0.116810517376206,48.0475,2.63622017634753
ACI_curve1_09142012-tnf-tr-caferana-aci.csv,13,2,14,0.0236846153846154,0.00887401132087834,29.7923076923077,0.833018145522191,29.5215384615385,0.954758661947669,999.923076923077,0.75955452531275,2.53153846153846,0.16139218040982,40.6561538461538,1.49792377677425
ACI_curve1_09272012-tnf-tr11-shade-aci-h1.csv,11,7,17,0.0296036363636364,0.0197293305881002,31.3036363636364,0.092549740925918,30.1672727272727,0.0268666741860281,1499.63636363636,0.80903983495589,2.17636363636364,0.112006493318265,56.1236363636364,2.07916460496649
ACI_curve1_10252012-tnf-caferana-aci-b2.csv,15,1,15,0.0569133333333333,0.00357868025687576,31.498,0.160008928322319,30.228,0.0270449361513124,1499.8,0.774596669241483,2.44933333333333,0.0504928094833691,50.7706666666667,0.475762045364618
ACI_curve1_11262012-tnf-tr9-curves-b2.csv,14,2,15,0.0594357142857143,0.00562256540719997,32.4342857142857,0.161326915381079,29.995,0.0329918404830884,1999.85714285714,0.534522483824849,3.32571428571429,0.0495695759225642,36.8021428571429,0.474603941301483
ACI_curve1_11302012-tnf-tower macarunduba-curves-b2.csv,15,1,15,0.10362,0.0465481041504377,32.434,0.149034991097489,30.3973333333333,0.0834494429209061,2000,0.377964473009227,2.098,0.150722071565988,64.1193333333333,3.37589240406289
ACI_curve1_2015-28-7-tnf-caferana1-b2_1.csv,12,3,14,0.0306083333333333,0.00319529720721316,31.0866666666667,0.0347283832917773,30.0416666666667,0.0140345893053446,1500.66666666667,0.65133894727893,2.1575,0.0128805702866407,55.65,0.189832462019444
ACI_curve2_08242013-tnf-tr504-hux1.csv,14,21,34,0.0578142857142857,0.0110245779366522,30.0464285714286,0.0338792295928081,29.4671428571429,0.0163747326125298,2000.28571428571,0.726273039202563,2.05642857142857,0.0352151940234594,53.6328571428572,0.797152900799305
ACI_curve2_08262013-tnf-tr500-hux1.csv,15,20,34,0.105793333333333,0.0272388500561414,31.2833333333333,0.08005950168171,29.786,0.0112122382116279,2796.13333333333,29.4057007754489,2.05266666666667,0.0858126419812928,60.1846666666667,1.59894101859712
ACI_curve2_08272013-tnf-hux1.csv,10,22,34,0.04971,0.0100539047140899,30.544,0.0485798312059643,29.659,0.00567646212197636,1999.7,0.483045891539648,2.358,0.0477958622104932,48.758,0.881801186965256
ACI_curve2_08292012-tnf-tr9-sun-aci.csv,11,14,24,0.0685545454545455,0.00410398919013285,30.1081818181818,0.0549214314850195,30.0445454545455,0.00687551650952356,1000,0,2.36909090909091,0.0170026735865543,44.9045454545455,0.120777782424056
ACI_curve2_08292013-tnf-tr232-hux1.csv,11,23,33,0.00693181818181818,0.000950745162299742,29.7845454545454,0.0175291964240438,29.4,0.00774596669241467,1999.18181818182,0.603022689155527,2.02818181818182,0.00603022689155523,52.9872727272727,0.12009087468171
ACI_curve2_08302012-tnf-tr118-dappled-aci_2.csv,12,3,14,0.041275,0.015291121904259,30.4441666666667,0.0750101003299899,30.1216666666667,0.0194624736040377,999.75,0.965307299163423,2.36666666666667,0.0609520427479795,46.7033333333333,1.01733460423289
ACI_curve2_09052012-tnf-tr11-shade-aci.csv,8,21,28,0.09045,0.0706341884035526,29.97125,1.20050510202997,32.11875,2.76767792046484,1500.125,0.83452296039628,2.1875,0.407947825795688,43.39125,5.19450379178388
ACI_curve2_09082012-tnf-tr504-sun-aci.csv,12,16,27,0.0914083333333333,0.0436468359434998,30.0341666666667,0.165774125261033,26.4983333333333,1.53908965615944,1000.5,0.522232967867094,3.195,0.25003636099212,30.59,4.18938051397926
ACI_curve2_09122012-tnf-tr504-shade-aci.csv,12,16,27,0.092925,0.032376425907525,30.0375,0.120387631500008,30.0083333333333,0.00577350269189651,1000.33333333333,0.492365963917331,2.05666666666667,0.118423994292721,51.9008333333333,2.09717324178538
ACI_curve2_09142012-tnf-tr-caferana-aci.csv,12,17,28,0.0188758333333333,0.00549451868738842,30.4116666666667,0.129603123793255,30.11,0.0255840859626728,1000.16666666667,0.389249472080762,2.59,0.0301511344577764,41.3508333333333,0.468216312350941
ACI_curve2_09182012-tnf-tr500-shade-aci.csv,11,18,28,0.00698454545454545,0.000497380410478009,31.6881818181818,0.0312468180198185,30.4318181818182,0.0166241882918725,1500.36363636364,0.809039834955891,2.71363636363636,0.0112006493318265,45.2536363636364,0.0654633832417373
ACI_curve2_10102012-tnf-tr9-aci-b2.csv,14,2,15,0.0661,0.0403786501088804,30.0585714285714,0.397450667337511,29.685,0.0864469601725641,1499.64285714286,0.497245158098847,1.93857142857143,0.16071269840486,55.8664285714286,1.89965424847162
ACI_curve2_10112012-tnf-tr9-aci-b2.csv,15,1,15,0.0993933333333333,0.00314948219478029,30.7013333333333,0.0585377371160406,29.8426666666667,0.0166761877566558,1499.46666666667,0.516397779494322,2.38266666666667,0.0122279928657082,48.6066666666667,0.0382970843102532
ACI_curve2_10252012-tnf-caferana-aci-hux1.csv,13,3,15,0.0453076923076923,0.0138694785733796,30.8176923076923,0.115408971788292,30.1669230769231,0.0295478751025675,1500.07692307692,0.75955452531275,2.35,0.0719953702215173,49.1530769230769,1.11872982004432
ACI_curve2_11212013-tnf-understory1_of_504-b2.csv,11,18,28,0.0978272727272727,0.0129104679163143,30.5718181818182,0.160550190396535,29.74,0.0337638860322685,1999.63636363636,0.674199862463242,1.87545454545455,0.0546559486906295,60.1909090909091,0.567722723615227
ACI_curve2_11262012-tnf-tr9-curves-hux1.csv,14,2,15,0.0475428571428571,0.00800525926027233,30.2742857142857,0.060728181990836,30.2114285714286,0.0247626091756664,2000.14285714286,0.770328886519643,2.88071428571429,0.037919811285291,33.565,0.874728529316381
ACI_curve2_2015-28-7-tnf-caferana1-b2_2.csv,12,3,14,0.0379083333333333,0.00822363095357556,31.265,0.10370412457827,30.2041666666667,0.0512495380614811,1499.5,0.797724035217466,1.95666666666667,0.0328449064359739,60.8791666666667,0.551979221172375
ACI_curve3_08212013_tnf_tr500_curves.csv,13,29,44,0.0675461538461538,0.00840700257569202,30.01,0.0556776436283004,29.6292307692308,0.0180099687495279,2000.15384615385,0.688737231721194,2.12692307692308,0.027804260879889,51.2046153846154,0.458959246277477
ACI_curve3_08262013-tnf-tr500-hux1.csv,7,38,44,0.0248142857142857,0.00539858888088007,30.6028571428571,0.0386066858261133,29.69,0.0141421356237307,2000.42857142857,0.786795792469443,2.09142857142857,0.018644544714716,55.3957142857143,0.412345209052525
ACI_curve3_08272013-tnf-hux1.csv,13,40,52,0.0999384615384615,0.036927418414631,30.7569230769231,0.180341556284393,29.6984615384615,0.0215430398064556,2000.46153846154,0.776250025806185,2.08307692307692,0.132500604739791,56.5423076923077,2.17661110385753
ACI_curve3_08292012-tnf-tr9-sun-aci.csv,10,26,35,0.12029,0.013359844476806,30.024,0.20227593914145,30.082,0.0586515131944602,1000,0.471404520791032,2.197,0.057164480035926,48.319,0.545984330259476
ACI_curve3_08292013-tnf-tr232-hux1.csv,15,36,50,0.03876,0.00945967380893382,29.574,0.0505399417716892,29.3586666666667,0.00833809387832725,2000.26666666667,0.703731550548997,1.97466666666667,0.0377712412645741,53.1546666666667,0.660420500965285
ACI_curve3_08302012-tnf-tr118-dappled-aci_3.csv,13,2,14,0.0167615384615385,0.000287339698900279,30.7623076923077,0.0313990037405242,30.1630769230769,0.01182131928947,999.461538461538,0.660225291773525,2.49230769230769,0.00832050294337837,45.5476923076923,0.0831819137146453
ACI_curve3_09122012-tnf-tr504-shade-aci.csv,12,31,42,0.0724,0.0129939146596327,30.3058333333333,0.0287491765362964,30.09,0.00852802865422575,1001,0,2.1175,0.0469283786985309,51.8383333333333,0.958889825250898
ACI_curve3_1010-tnf-tr9-aci-hux1.csv,14,17,30,0.0867142857142857,0.0201337778618175,30.1521428571429,0.101312811205127,30.0278571428571,0.0162568666810582,1499.64285714286,0.497245158098847,2.07428571428571,0.0688045487890586,52.095,1.11198194506649
ACI_curve3_10112012-tnf-tr9-aci-hux1.csv,14,16,30,0.0322714285714286,0.0131439619698071,39.3607142857143,0.107593557550505,42.9592857142857,0.0309998227573813,1499.35714285714,0.497245158098847,4.83857142857143,0.112034139223936,26.8514285714286,0.945685401769997
